actual,predicted
193.6006,193.6006
193.7,193.7
193.695,193.695
193.67,193.67
193.71,193.71
193.73,193.73
194.03,194.03
193.75,193.75
193.8,193.8
193.79,193.79
193.75,193.75
193.73,193.73
193.75,193.75
193.74,193.74
193.749,193.749
193.8083,193.8083
193.77,193.77
193.8599,193.8599
193.9476,193.9476
193.9,193.9
193.9,193.9
193.89,193.89
193.95,193.95
193.95,193.95
193.94,193.94
193.99,193.99
193.969,193.969
193.88,193.88
193.92,193.92
193.99,193.99
193.99,193.99
193.99,193.99
193.92,193.92
193.95,193.95
193.9,193.9
193.97,193.97
193.94,193.94
193.94,193.94
193.91,193.91
193.9706,193.9706
194.0,194.0
194.03,194.03
194.06,194.06
193.96,193.96
193.99,193.99
193.9218,193.9218
194.02,194.02
193.98,193.98
194.0,194.0
193.97,193.97
193.99,193.99
194.0,194.0
193.92,193.92
194.46,194.46
194.64,194.64
194.63,194.63
194.88,194.88
194.765,194.765
194.595,194.595
194.1299,194.1299
193.9,193.9
194.17,194.17
193.8415,193.8415
193.8599,193.8599
193.83,193.83
193.7328,193.7328
193.5287,193.5287
193.61,193.61
193.45,193.45
193.3875,193.3875
193.4,193.4
193.39,193.39
193.215,193.215
193.2,193.2
193.45,193.45
193.4552,193.4552
193.545,193.545
193.49,193.49
193.5287,193.5287
193.5,193.5
193.43,193.43
193.185,193.185
193.23,193.23
193.11,193.11
193.09,193.09
193.18,193.18
193.575,193.575
193.63,193.63
193.58,193.58
193.5301,193.5301
193.44,193.44
193.19,193.19
193.22,193.22
193.255,193.255
193.195,193.195
193.175,193.175
193.41,193.41
193.62,193.62
193.72,193.72
193.62,193.62
193.49,193.49
193.71,193.71
193.87,193.87
193.885,193.885
193.845,193.845
193.855,193.855
193.86,193.86
193.815,193.815
193.625,193.625
193.765,193.765
193.78,193.78
193.78,193.78
193.765,193.765
193.865,193.865
194.05,194.05
194.03,194.03
194.0799,194.0799
194.125,194.125
194.301,194.301
193.935,193.935
193.98,193.98
193.8401,193.8401
193.79,193.79
193.84,193.84
